iter	Passed	Remaining
0	140	140258
1	161	80754
2	176	58703
3	187	46779
4	195	38887
5	202	33628
6	208	29564
7	213	26426
8	219	24121
9	223	22168
10	228	20559
11	235	19366
12	239	18202
13	244	17214
14	250	16436
15	256	15759
16	260	15090
17	266	14557
18	271	14029
19	277	13592
20	283	13208
21	288	12834
22	294	12520
23	300	12233
24	306	11948
25	311	11661
26	317	11453
27	323	11233
28	328	11011
29	334	10809
30	339	10606
31	344	10412
32	350	10281
33	355	10105
34	361	9963
35	366	9821
36	371	9667
37	376	9536
38	382	9436
39	387	9309
40	393	9207
41	399	9117
42	404	9012
43	414	9005
44	430	9132
45	435	9022
46	440	8933
47	446	8855
48	451	8753
49	455	8656
50	461	8591
51	466	8503
52	471	8416
53	477	8373
54	482	8289
55	487	8211
56	493	8167
57	499	8105
58	505	8067
59	511	8011
60	517	7960
61	523	7917
62	529	7868
63	537	7856
64	543	7814
65	549	7771
66	556	7746
67	562	7705
68	566	7646
69	573	7623
70	578	7569
71	583	7514
72	590	7493
73	595	7446
74	599	7396
75	607	7384
76	612	7340
77	618	7306
78	623	7274
79	628	7229
80	634	7196
81	639	7162
82	645	7130
83	651	7107
84	657	7078
85	662	7036
86	668	7020
87	673	6981
88	678	6940
89	683	6912
90	688	6876
91	692	6838
92	697	6805
93	703	6781
94	708	6745
95	712	6710
96	718	6691
97	723	6657
98	727	6624
99	733	6602
100	738	6571
101	743	6543
102	750	6535
103	755	6511
104	760	6484
105	768	6479
106	773	6453
107	777	6425
108	785	6424
109	790	6397
110	795	6373
111	801	6356
112	806	6330
113	810	6302
114	818	6301
115	824	6282
116	830	6264
117	835	6243
118	839	6217
119	845	6203
120	851	6185
121	856	6160
122	861	6143
123	882	6232
124	891	6243
125	906	6284
126	929	6387
127	944	6432
128	954	6446
129	962	6443
130	969	6431
131	985	6481
132	1000	6519
133	1009	6521
134	1016	6512
135	1022	6498
136	1033	6510
137	1041	6506
138	1049	6498
139	1055	6485
140	1063	6477
141	1071	6473
142	1080	6472
143	1087	6465
144	1096	6463
145	1103	6454
146	1111	6449
147	1117	6430
148	1124	6423
149	1129	6401
150	1134	6381
151	1142	6375
152	1148	6356
153	1153	6337
154	1160	6324
155	1164	6301
156	1171	6287
157	1176	6271
158	1181	6249
159	1187	6234
160	1193	6218
161	1198	6200
162	1206	6194
163	1211	6174
164	1215	6153
165	1221	6139
166	1226	6118
167	1231	6096
168	1237	6084
169	1241	6063
170	1246	6042
171	1252	6030
172	1257	6011
173	1261	5990
174	1268	5980
175	1273	5962
176	1278	5942
177	1284	5932
178	1290	5919
179	1295	5902
180	1301	5889
181	1306	5871
182	1310	5851
183	1316	5837
184	1321	5821
185	1325	5802
186	1330	5784
187	1336	5774
188	1341	5756
189	1345	5738
190	1352	5728
191	1357	5711
192	1361	5693
193	1368	5684
194	1372	5667
195	1377	5650
196	1383	5638
197	1387	5621
198	1392	5604
199	1398	5593
200	1404	5582
201	1409	5566
202	1415	5555
203	1420	5543
204	1425	5527
205	1432	5519
206	1436	5504
207	1441	5487
208	1446	5475
209	1452	5464
210	1458	5453
211	1464	5444
212	1470	5434
213	1475	5420
214	1482	5413
215	1488	5401
216	1494	5391
217	1501	5385
218	1506	5373
219	1513	5367
220	1520	5358
221	1526	5348
222	1532	5338
223	1537	5325
224	1544	5319
225	1548	5304
226	1553	5289
227	1559	5281
228	1564	5269
229	1569	5255
230	1574	5243
231	1580	5232
232	1585	5220
233	1591	5210
234	1596	5198
235	1601	5183
236	1606	5171
237	1612	5163
238	1617	5150
239	1622	5136
240	1628	5130
241	1633	5116
242	1637	5102
243	1644	5094
244	1648	5081
245	1653	5068
246	1659	5060
247	1665	5049
248	1672	5043
249	1678	5035
250	1683	5024
251	1689	5015
252	1695	5004
